slug_country,tournament,id,slug_torn
brazil,"Roraimense, Feminino",24258,roraimense-feminino
brazil,Sergipano,11665,sergipano
brazil,"Sergipano, Série A2",20825,sergipano-serie-a2
brazil,Copa Governo do Estado de Sergipe,27958,copa-governo-do-estado-de-sergipe
brazil,Sul-Mato-Grossense,11679,sul-mato-grossense
brazil,"Sul-Mato-Grossense, Série B",21158,sul-mato-grossense-serie-b
brazil,"Sul-Mato-Grossense, Feminino",28397,sul-mato-grossense-feminino
brazil,Tocantinense,14686,tocantinense
brazil,"Tocantinense, 2ª Divisão",19633,tocantinense-2a-divisao
brazil,Copa do Nordeste,1596,copa-do-nordeste
brazil,U20 Copa do Nordeste,24849,u20-copa-do-nordeste
brazil,Copa Verde,10158,copa-verde
brazil,U17 Campeonato Brasileiro,22794,u17-campeonato-brasileiro
brazil,U17 Copa do Brasil,20622,u17-copa-do-brasil
brazil,U17 Supercopa do Brasil,24949,u17-supercopa-do-brasil
brazil,"U17 Brasileiro, Feminino",22960,u17-brasileiro-feminino
brazil,U20 Campeonato Brasileiro,9233,u20-campeonato-brasileiro
brazil,"U20 Campeonato Brasileiro, Série B",25276,u20-campeonato-brasileiro-serie-b
brazil,U20 Copa do Brasil,9491,u20-copa-do-brasil
brazil,U20 Supercopa do Brasil,24938,u20-supercopa-do-brasil
brazil,"U20 Brasileiro, Feminino",22004,u20-brasileiro-feminino
brazil,Copinha,10772,copinha
brazil,Copinha Feminina,21696,copinha-feminina
brazil,U20 Acreano,22535,u20-acreano
brazil,"U20 Alagoano, Série A1",26801,u20-alagoano-serie-a1
brazil,"U20 Alagoano, Série A2",26920,u20-alagoano-serie-a2
brazil,U20 Copa Alagoas,23691,u20-copa-alagoas
brazil,U20 Amapaense,24846,campeonato-amapaense-sub-20
brazil,U20 Copa Amazonas,22845,u20-copa-amazonas
brazil,"U20 Amazonense, Feminino",27545,u20-amazonense-feminino
brazil,U20 Baiano,22035,u20-baiano
brazil,U20 Brasiliense,25640,u20-brasiliense
brazil,U20 Copa Brasília,24267,u20-copa-brasilia
brazil,U20 Capixaba,22029,u20-capixaba
brazil,"U20 Carioca, Série A",20102,u20-carioca-serie-a
brazil,"U20 Carioca, Série A2",23502,u20-carioca-serie-a2
brazil,"U20 Carioca, Série B1",22213,u20-carioca-serie-b1
brazil,"U20 Carioca, Série B2",22214,u20-carioca-serie-b2
brazil,U20 Copa Rio,22039,u20-copa-rio
brazil,U20 Torneio Otávio Pinto Guimarães,23063,u20-torneio-otavio-pinto-guimaraes
brazil,"U20 Carioca, Feminino",27370,u20-carioca-feminino
brazil,"U20 Copa Rio, Feminino",26777,u20-copa-rio-feminino
brazil,U20 Catarinense,22220,u20-catarinense
brazil,"U20 Copa Santa Catarina, Feminino",23083,u20-copa-santa-catarina-feminino
brazil,U20 Cearense,20351,u20-cearense
brazil,Taça FPF,24285,u23-taca-fpf
brazil,"U20 Gaúcho, Série A1",20317,u20-gaucho-serie-a1
brazil,U20 Goiano,22009,u20-goiano
brazil,"U20 Goiano, 2ª Divisão",25188,u20-goiano-2a-divisao
brazil,U20 Copa Goiás,23048,u20-copa-goias
brazil,"U20 Copa Goiás, 2ª Divisão",23221,u20-copa-goias-2a-divisao
brazil,"U20 Goiano, Feminino",25150,u20-goiano-feminino
