slug_country,tournament,leagueid,slug_torn,teamName,teamid,teamslug,teamorigin
australia,A-League Men,136,a-league-men,Melbourne Victory,5970,melbourne-victory,australia
australia,A-League Men,136,a-league-men,Adelaide United,2946,adelaide-united,australia
australia,A-League Men,136,a-league-men,Sydney FC,5971,sydney-fc,australia
australia,A-League Men,136,a-league-men,Macarthur FC,371682,macarthur-fc,australia
australia,A-League Men,136,a-league-men,Newcastle Jets,2934,newcastle-jets,australia
australia,A-League Men,136,a-league-men,Central Coast Mariners,5966,central-coast-mariners,australia
australia,A-League Men,136,a-league-men,Wellington Phoenix,7568,wellington-phoenix,australia
australia,A-League Men,136,a-league-men,Brisbane Roar,5968,brisbane-roar,australia
australia,A-League Men,136,a-league-men,Perth Glory,2945,perth-glory,australia
azerbaijan,Misli Premier League,709,misli-premier-league,Zirə FK,173406,zire-fk,azerbaijan
azerbaijan,Misli Premier League,709,misli-premier-league,Sumqayıt FK,44497,sumqayit-fk,azerbaijan
azerbaijan,Misli Premier League,709,misli-premier-league,Araz Naxçıvan,119066,araz-naxcivan-pfk,azerbaijan
azerbaijan,Misli Premier League,709,misli-premier-league,Turan Tovuz,36951,turan-tovuz,azerbaijan
azerbaijan,Misli Premier League,709,misli-premier-league,İmişli FK,452296,imisli-fk,azerbaijan
azerbaijan,Misli Premier League,709,misli-premier-league,FK Karvan Yevlax,498809,fk-karvan-yevlax,azerbaijan
azerbaijan,Misli Premier League,709,misli-premier-league,Qarabağ,5962,qarabag,azerbaijan
azerbaijan,Misli Premier League,709,misli-premier-league,Sabah FK,267828,sabah-fk,azerbaijan
azerbaijan,Misli Premier League,709,misli-premier-league,Şamaxı FK,24036,samaxi-fk,azerbaijan
azerbaijan,Misli Premier League,709,misli-premier-league,Neftçi Baku PFK,5215,neftci-baku-pfk,azerbaijan
azerbaijan,Misli Premier League,709,misli-premier-league,Qəbələ FK,36952,qebele-fk,azerbaijan
azerbaijan,Misli Premier League,709,misli-premier-league,Kəpəz PFK,37750,kepez-pfk,azerbaijan
bahamas,BFA Senior League,19511,bfa-senior-league,Western Warriors Titans,454462,western-warriors-fc,bahamas
bahamas,BFA Senior League,19511,bfa-senior-league,Dynamos Nassau FC,454471,dynamos-nassau-fc,bahamas
bahamas,BFA Senior League,19511,bfa-senior-league,Westside Renegades,454465,westside-renegades,bahamas
bahamas,BFA Senior League,19511,bfa-senior-league,University of Bahamas Mingoes,454466,university-of-bahamas-mingoes,bahamas
bahamas,BFA Senior League,19511,bfa-senior-league,Western Warriors Gladiator,929880,western-warriors-gladiator,bahamas
bahamas,BFA Senior League,19511,bfa-senior-league,United FC,454470,united-fc,bahamas
bahamas,BFA Senior League,19511,bfa-senior-league,Future Stars FC,454469,future-stars-fc,bahamas
bahamas,BFA Senior League,19511,bfa-senior-league,IM Bears FC,454467,im-bears-fc,bahamas
bahamas,BFA Senior League,19511,bfa-senior-league,Seventeen FC,454468,seventeen-fc,bahamas
bahamas,BFA Senior League,19511,bfa-senior-league,Baha Juniors,454463,baha-juniors,bahamas
bahamas,BFA Senior League,19511,bfa-senior-league,Cavalier Nassau FC,454464,cavalier-nassau-fc,bahamas
bahamas,BFA Senior League,19511,bfa-senior-league,Inter Nassau,497576,inter-nassau,bahamas
bahrain,Bahraini Premier League,846,premier-league,A'Ali FC,448068,aali-fc,bahrain
bahrain,Bahraini Premier League,846,premier-league,Bahrain SC,60428,bahrain-sc,bahrain
bahrain,Bahraini Premier League,846,premier-league,Al-Budaiya,190807,al-budaiya,bahrain
