,slug_country,tournament,id,slug_torn
447,brazil,U20 Copa Pernambuco,24851,u20-copa-pernambuco
448,brazil,U20 Piauiense,26948,u20-piauiense
449,brazil,U20 Potiguar,20800,u20-potiguar
450,brazil,U20 Rondoniense,25650,u20-rondoniense
451,brazil,U20 Sergipano,22505,u20-sergipano
452,brazil,"U20 Sergipano, Série A2",22808,u20-sergipano-serie-a2
453,brazil,U20 Sul-Mato-Grossense,26298,u20-sul-mato-grossense
454,brazil,U20 Tocantinense,22497,u20-tocantinense
455,brazil,U21 Catarinense,22071,u21-catarinense-b
456,brazil,Brasil Ladies Cup,21698,brasil-ladies-cup
457,brazil,Torneio Paraná de Verão,21851,torneio-parana-de-verao
458,brazil,Copa FGF,20620,copa-fgf
459,brazil,U20 Copa do Nordeste,28145,u20-copa-do-nordeste
460,british-virgin-islands,BVIFA National League,19950,bvifa-national-league
461,brunei,Super League,17017,super-league
462,bulgaria,Parva Liga,247,parva-liga
463,bulgaria,Vtora Liga,1135,vtora-liga
464,bulgaria,Bulgarian Cup,365,bulgarian-cup
465,bulgaria,Bulgarian Supercup,510,super-cup
466,bulgaria,Women's Super League,24121,womens-super-league
467,bulgaria,Treta Liga,28023,treta-liga
468,burundi,Primus League,16663,primus-league
469,burundi,Ligue B Nationale,19377,ligue-b-nationale
470,cambodia,Cambodian Premier League,10741,cambodian-premier-league
471,cambodia,Hun Sen Cup,18539,hun-sen-cup
472,cameroon,Elite One,1006,elite-one
473,canada,Canadian Premier League,13470,canadian-premier-league
