,teamName,id,teamslug,teamorigin
331,SFK Slutsk,36881,sfk-slutsk,belarus
332,Molodechno-2018,197956,fc-molodechno,belarus
333,Royale Union Saint-Gilloise,4860,royale-union-saint-gilloise,belgium
334,Sint-Truidense VV,2895,sint-truidense-vv,belgium
335,KV Mechelen,5044,kv-mechelen,belgium
336,Club Brugge KV,2888,club-brugge-kv,belgium
337,RSC Anderlecht,2900,anderlecht,belgium
338,Royal Antwerp FC,2889,royal-antwerp-fc,belgium
339,Cercle Brugge,2929,cercle-brugge,belgium
340,KRC Genk,2890,krc-genk,belgium
341,Standard Liège,2901,standard-liege,belgium
342,Oud-Heverlee Leuven,2918,oud-heverlee-leuven,belgium
343,KVC Westerlo,2893,kvc-westerlo,belgium
344,RC Sporting Charleroi,2898,rc-sporting-charleroi,belgium
345,KAA Gent,2903,kaa-gent,belgium
346,RAAL La Louvière,368506,raal-la-louviere,belgium
347,SV Zulte Waregem,2933,sv-zulte-waregem,belgium
348,FCV Dender,389232,fcv-dender-eh,belgium
349,Verdes FC,24063,verdes-fc,belize
350,Progresso FC,491693,progresso-fc,belize
351,Belmopan FC Belize,1112838,belmopan-fc-belize,belize
352,Napoles FC,1112837,napoles-fc,belize
353,Port Layola FC,524602,port-layola-fc,belize
354,Wagiya SC,491691,wagiya-sc,belize
355,Benque Viejo United,491697,benque-viejo-united,belize
356,Dadje FC,520851,dadje-fc,benin
357,Espoir FC De Savalou,381037,espoir-fc-de-savalou,benin
358,Cavalier de Nikki,520782,cavalier-de-nikki,benin
359,Dynamo FC d'Abomey,339438,dynamo-abomey-fc,benin
360,Hodio FC,380766,hodio-fc,benin
361,Damissa FC,382157,damissa-fc,benin
362,Loto-Popo FC,485617,loto-popo-fc,benin
363,Panthère de Djougou,520780,panthere-de-djougou,benin
364,Bani Ganse FC,520783,bani-ganse-fc,benin
365,Buffles de Borgou,260809,buffles-de-borgou,benin
366,Beke FC,314669,beke-fc,benin
367,Abeille FC,520784,abeille-fc,benin
368,BOA FC de Sinendé,520819,ainonvi-fc,benin
369,Takunnin FC,376621,takunnin-fc,benin
370,Dynamique FC,376620,dynamique-fc,benin
371,Dynamo FC de Parakou,520781,dynamo-fc-de-parakou,benin
372,Real Sport,336526,real-sport,benin
373,Tonnerre FC,520785,tonnerre-fc,benin
374,North Village Rams,930748,north-village-community-club,bermuda
375,PHC Zebras,930746,phc-zebras,bermuda
376,St. George's Cricket Club,930751,st-georges-cricket-club,bermuda
377,Paget Lions FC,930754,paget-lions-fc,bermuda
378,Devonshire Cougars,930750,devonshire-recreation-club,bermuda
379,Devonshire Colts,930757,devonshire-colts,bermuda
380,Dandy Town Hornets,930749,western-stars,bermuda
381,Young Men's Social Club,930755,young-mens-social-club,bermuda
382,Hamilton Parish,930753,hamilton-parish,bermuda
383,Wolves SC,930756,wolves-sc,bermuda
384,Paro FC,338855,paro-fc,bhutan
385,Thimphu City,245117,thimphu-city,bhutan
386,Royal Thimphu College FC,417798,royal-thimphu-college-fc,bhutan
387,Transport United,275594,transport-united,bhutan
388,BFF Academy U19,417911,bff-academy-u19,bhutan
389,Ugyen Academy FC,353899,ugyen-academy-fc,bhutan
390,Tsirang FC,476175,tsirang-fc,bhutan
391,Southern City,512351,southern-city,bhutan
392,Tensung FC,353683,tensung-fc,bhutan
393,Samtse,476262,samtse,bhutan
394,FK Borac Banja Luka,5235,fk-borac-banja-luka,bosnia-herzegovina
395,FK Željezničar,5240,fk-zeljeznicar,bosnia-herzegovina
396,FK Radnik Bijeljina,6149,fk-radnik-bijeljina,bosnia-herzegovina
397,NK Široki Brijeg,5239,nk-siroki-brijeg,bosnia-herzegovina
398,FK Sloga Doboj,37064,fk-sloga-meridian,bosnia-herzegovina
399,FK Sarajevo,5237,fk-sarajevo,bosnia-herzegovina
400,HŠK Posušje,6147,hsk-posusje,bosnia-herzegovina
401,FK Rudar Prijedor,36537,fk-rudar-prijedor,bosnia-herzegovina
402,HŠK Zrinjski Mostar,5178,hsk-zrinjski-mostar,bosnia-herzegovina
403,FK Velež Mostar,6151,fk-velez-mostar,bosnia-herzegovina
404,Jwaneng Galaxy FC,297712,jwaneng-galaxy-fc,botswana
405,Township Rollers FC,277010,township-rollers-fc,botswana
406,Sua Flamingoes FC,398669,sua-flamingos,botswana
407,Gaborone United,286890,gaborone-united,botswana
408,Mochudi Centre Chiefs,134296,mochudi-centre-chiefs,botswana
409,Botswana Defence Force XI,281168,bdf-xi,botswana
410,Nico United,453220,nico-united,botswana
411,Tafic FC,327832,tafic-fc,botswana
412,Santa Green FC,1106877,santa-green-fc,botswana
413,Matebele,488867,matebele,botswana
414,Police XI,297707,police-xi,botswana
415,Extension Gunners,281169,extension-gunners,botswana
416,Orapa United,297710,orapa-united,botswana
417,Calendar Stars,1106876,calendar-stars,botswana
418,Black Lions FC,1117606,black-lions-fc,botswana
419,Morupule Wanderers,327834,morupule-wanderers,botswana
420,Flamengo,5981,flamengo,brazil
421,Cruzeiro,1954,cruzeiro,brazil
422,Palmeiras,1963,palmeiras,brazil
423,Bahia,1955,bahia,brazil
